,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
119,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-17,Trump Defends Saudi Arabia Against Murder Allegations to Secure Arms Deal | The Daily Show,Comedy,1879639,23502,768,https://www.youtube.com/watch?v=FtclXjQLOtM
120,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-16,Saudi Arabia’s Shifting Story About Jamal Khashoggi’s Disappearance | The Daily Show,Comedy,2653212,29294,1780,https://www.youtube.com/watch?v=8U4P1I3Y58g
121,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-15,“Cornerstore Caroline” Falsely Accuses a 9-Year-Old Black Boy of Sexual Assault | The Daily Show,Comedy,2393425,45513,1774,https://www.youtube.com/watch?v=AYep3LwjjW4
122,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-15,Elizabeth Warren’s DNA Test - Between the Scenes | The Daily Show,Comedy,905578,17105,1204,https://www.youtube.com/watch?v=vz8Qs-EYWQw
123,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-15,Nicole Chung - “All You Can Ever Know” & The Challenges of Transracial Adoption | The Daily Show,Comedy,142614,2266,80,https://www.youtube.com/watch?v=6MZ485tl33k
124,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-14,Trump Plays Victim & Fox News Cries “Mob” | The Daily Show,Comedy,1435049,23319,1592,https://www.youtube.com/watch?v=OHAZ1qATtzo
125,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-14,Mark Leibovich - “Big Game” & The Ineptitude of NFL Owners | The Daily Show,Comedy,125174,1564,48,https://www.youtube.com/watch?v=5ZOTd-34oII
127,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-13,The U.N. Issues an Alarming Climate Report & Banksy Shreds His Painting | The Daily Show,Comedy,1102544,17784,424,https://www.youtube.com/watch?v=VTQlX5J-9yg
126,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-13,John Cena - “Elbow Grease” & Bringing the WWE to China | The Daily Show,Comedy,1004907,17097,601,https://www.youtube.com/watch?v=ZJKvioNABb0
129,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-12,Kanye West and Taylor Swift Pick Political Sides | The Daily Show,Comedy,1233426,20013,599,https://www.youtube.com/watch?v=Of8Cskx7UJQ
128,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-12,Nikki Haley’s Surprise Resignation | The Daily Show,Comedy,1892709,21068,1045,https://www.youtube.com/watch?v=f77aSltwffs
130,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-11,Jaboukie Young-White on Why Young People Don’t Vote | The Daily Show,Comedy,878273,19799,1790,https://www.youtube.com/watch?v=_7i04G7moYI
131,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-10,Democalypse 2018 - Democrats Look for History-Making Victory in Georgia | The Daily Show,Comedy,1475174,23784,813,https://www.youtube.com/watch?v=CYeKAMrkneM
132,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-10,Riz Ahmed - The Timeliness of “Venom” & Creating Defiant Music | The Daily Show,Comedy,344229,7438,158,https://www.youtube.com/watch?v=z1k3Guk1QpQ
133,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-09,Trump Takes a Victory Lap After Kavanaugh Is Sworn In | The Daily Show,Comedy,1592282,22903,1287,https://www.youtube.com/watch?v=E4V0Y6SzXzE
134,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-09,Did Michael Jackson Speak Tswana? - Between the Scenes | The Daily Show,Comedy,588002,10829,145,https://www.youtube.com/watch?v=ssRLAoTgzEQ
135,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-09,Lester Holt - Taking the News to Small-Town America | The Daily Show,Comedy,278494,3578,91,https://www.youtube.com/watch?v=KmAYb7S-3Do
138,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-08,Back in Black - Electric Scooter Sharing Apps | The Daily Show,Comedy,250550,4763,274,https://www.youtube.com/watch?v=N_0EXBIinPc
136,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-08,Helicopter Parenting - Between the Scenes | The Daily Show,Comedy,680362,14097,200,https://www.youtube.com/watch?v=26zVVclInCU
137,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-08,"Carol Anderson - “One Person, No Vote” & The Impact of Voter Suppression | The Daily Show",Comedy,172349,3655,79,https://www.youtube.com/watch?v=QkanNI58Q-E
139,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-07,Neil deGrasse Tyson - “Accessory to War” & Arming Society with Knowledge | The Daily Show,Comedy,722193,15307,564,https://www.youtube.com/watch?v=S12cgccAsy0
140,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-07,Undercover Girl Scout | The Daily Show,Comedy,386939,6765,404,https://www.youtube.com/watch?v=ZDtYdXT_GGM
141,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-07,China Puts Microchips Into U.S. Hardware & Chick-fil-A Unveils a Birthday Surprise | The Daily Show,Comedy,1077026,18329,532,https://www.youtube.com/watch?v=x1E0AzpWM-o
142,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-06,Poison Letter Sent to Trump & Russian Trolls Bash “The Last Jedi” | The Daily Show,Comedy,693881,13084,318,https://www.youtube.com/watch?v=2OuIT5xla2Y
143,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-06,Democalypse 2018 - The Bad Boys of the 2018 Midterms | The Daily Show,Comedy,553885,7874,280,https://www.youtube.com/watch?v=iDg3eoU2Q08
145,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-05,The U.S. Prepares to Test Nationwide Text Alerts & Amazon Raises Its Minimum Wage | The Daily Show,Comedy,452939,9910,151,https://www.youtube.com/watch?v=2a_EeMBVoSM
144,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-05,FLOTUS Goes to Africa & Facebook Gets Hacked Again | The Daily Show,Comedy,1077003,17330,355,https://www.youtube.com/watch?v=OqAkQzUGTW8
146,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-04,Trump Weaponizes Victimhood to Defend Kavanaugh  - Between the Scenes | The Daily Show,Comedy,2578413,73247,1961,https://www.youtube.com/watch?v=4LZ3P1sv9jE
148,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-04,Jeff Flake Flips on Brett Kavanaugh | The Daily Show,Comedy,646068,17460,303,https://www.youtube.com/watch?v=lWJswyA5lEw
147,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-04,"Secretive, Speedy & Sketchy: The FBI Investigation Into Brett Kavanaugh | The Daily Show",Comedy,1092550,17205,821,https://www.youtube.com/watch?v=RWR9U90j588
149,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-03,Donald Trump's Dodgy Tax History | The Daily Show,Comedy,2516802,37986,1228,https://www.youtube.com/watch?v=7GboYxcs-HE
150,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-02,Brett Kavanaugh’s 1985 Bar Brawl Brings His Honesty Under Oath Into Question | The Daily Show,Comedy,2452916,33588,2009,https://www.youtube.com/watch?v=CpYgDTimaKs
151,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-01,Trump Defends Kavanaugh Amid FBI Probe & Makes a Trade Deal with Mexico and Canada | The Daily Show,Comedy,1351912,21103,622,https://www.youtube.com/watch?v=vEhRyUx0ttM
152,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-01,"Trump's ""Loco"" Trade Announcement - Between the Scenes | The Daily Show",Comedy,604253,8801,129,https://www.youtube.com/watch?v=-miQePbGryM
154,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-01,Jenny Han - Capturing Young Love in “To All the Boys I’ve Loved Before” | The Daily Show,Comedy,82711,1955,56,https://www.youtube.com/watch?v=_1Se7K53WnM
153,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-09-30,America Ferrera - Standing with Christine Blasey Ford & “American Like Me” | The Daily Show,Comedy,268543,5450,247,https://www.youtube.com/watch?v=nyfmbDveSAY
155,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-09-30,America Ferrera - Standing with Christine Blasey Ford & “American Like Me” | The Daily Show,Comedy,268543,5450,247,https://www.youtube.com/watch?v=nyfmbDveSAY
156,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-09-30,Extreme Team-Building in Trump’s Divided America | The Daily Show,Comedy,399358,6828,165,https://www.youtube.com/watch?v=gn-u1AbtIAw
157,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-09-29,"Trump’s China Conspiracy Theory, Spotify’s DNA Playlists & More Legroom on Planes | The Daily Show",Comedy,873370,14871,342,https://www.youtube.com/watch?v=tLZ_o320DfY
158,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-09-29,Why Don’t Republicans Just Dump Brett Kavanaugh? | The Daily Show,Comedy,543438,8395,362,https://www.youtube.com/watch?v=yzQsiVq4iNs
159,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-09-28,Ted Cruz’s Restaurant Ouster & Nelson Mandela’s U.N. Statue | The Daily Show,Comedy,440986,9035,268,https://www.youtube.com/watch?v=m2iu-mGNcd0
